CATEGORY_EVENT,COUNTRY_SRC,IP_DST,IP_SRC,PORT_DST,PORT_SRC
Traffic Log,AU,155.5.131.72,1.120.96.193,7547,35622
Traffic Log,AU,150.133.199.88,1.41.151.71,7547,13331
Traffic Log,AU,143.214.93.243,1.43.23.233,7547,43689
Traffic Log,AU,141.190.186.78,1.120.96.193,7547,35622
Traffic Log,JP,155.6.145.135,1.79.106.185,55990,49878
Traffic Log,AU,155.6.66.55,1.42.90.46,20111,62348
Traffic Log,AU,143.45.59.39,1.42.90.46,21505,62348
Traffic Log,AU,143.45.54.27,1.43.23.233,7547,43689
Traffic Log,AU,141.190.70.8,1.41.151.71,7547,13331
Traffic Log,AU,143.45.32.134,1.120.96.193,7547,35622
Traffic Log,KR,143.212.147.96,1.11.228.118,35244,10714
Traffic Log,AU,150.133.234.70,1.41.151.71,7547,13331
Traffic Log,AU,150.137.14.76,1.43.23.233,7547,43689
Traffic Log,AU,143.214.107.137,1.120.96.193,7547,35622
Traffic Log,AU,143.213.250.139,1.43.23.233,7547,43689
Traffic Log,AU,155.6.225.105,1.41.151.71,7547,13331
Traffic Log,AU,155.6.65.136,1.41.151.71,7547,13331
Traffic Log,AU,141.190.17.100,1.43.23.233,7547,43689
Traffic Log,AU,150.137.71.84,1.41.151.71,7547,13331
Traffic Log,AU,143.212.102.225,1.42.90.46,26749,62348
Traffic Log,KR,143.45.57.47,1.11.194.184,63011,14645
Traffic Log,KR,143.45.91.34,1.11.132.46,40311,57107
Traffic Log,AU,150.137.201.33,1.41.151.71,7547,13331
Traffic Log,AU,155.5.103.91,1.42.90.46,10634,62348
Traffic Log,AU,143.46.231.187,1.41.151.71,7547,13331
Traffic Log,AU,143.213.20.33,1.120.96.193,7547,35622
Traffic Log,AU,143.212.188.136,1.43.23.233,7547,43689
Traffic Log,AU,141.190.243.248,1.43.23.233,7547,43689
Traffic Log,AU,143.46.88.121,1.43.23.233,7547,53076
Traffic Log,AU,155.5.181.171,1.120.96.156,7547,15174
Traffic Log,AU,141.190.43.234,1.41.151.71,7547,13331
Traffic Log,AU,155.5.61.49,1.41.8.145,21578,49478
Traffic Log,AU,155.5.181.93,1.43.23.233,7547,43689
Traffic Log,AU,143.213.225.162,1.41.151.71,7547,13331
Traffic Log,AU,143.45.59.39,1.42.90.46,21505,62348
Traffic Log,KR,141.190.91.53,1.11.174.218,35532,27304
Traffic Log,AU,143.213.235.194,1.43.23.233,7547,43689
Traffic Log,KR,143.46.157.232,1.11.54.122,56050,56698
Traffic Log,AU,150.133.59.223,1.43.23.233,7547,43689
Traffic Log,AU,143.214.181.16,1.43.23.233,7547,43689
Traffic Log,AU,143.213.140.85,1.43.23.233,7547,43689
Traffic Log,AU,143.46.33.57,1.120.96.193,7547,35622
Traffic Log,AU,143.45.53.188,1.43.23.233,7547,43689
Traffic Log,AU,143.212.136.155,1.41.151.71,7547,13331
Traffic Log,AU,143.214.191.89,1.43.23.233,7547,43689
Traffic Log,AU,143.45.20.240,1.43.23.233,7547,43689
Traffic Log,AU,150.133.63.250,1.120.96.193,7547,35622
Traffic Log,KR,143.46.73.35,1.11.54.122,4993,56698
Traffic Log,KR,143.213.202.109,1.11.150.92,60380,51413
Traffic Log,AU,143.212.27.197,1.120.96.193,7547,35622
Traffic Log,AU,143.212.104.107,1.40.252.211,1653,8999
Traffic Log,AU,143.214.230.250,1.41.151.71,7547,13331
Traffic Log,AU,150.137.83.114,1.43.23.233,7547,43689
Traffic Log,AU,141.190.64.97,1.43.23.233,7547,43689
